# Half Sugar's Gift - English (fallback for every language)
"role.maskedDancer.name" : "Masked Dancer"
"role.maskedDancer.short" : "Dancer"
"role.maskedDancer.blurb" : "Shall we dance?"
"role.maskedDancer.doc" : "Invite three players to the party. You can start the party after the next meeting ends."
"options.role.maskedDancer.detail" : "The Masked Dancer can invite three players and start the party.<br>The party's effect depends on the factions of the invited players.<br><b>This is one of Half Sugar's gifts to you!</b>"
"role.maskedDancer.ability.title" : "<b>Ability: Masquerade Ball</b>"
"role.maskedDancer.ability.main" : "You can use <b>Invite</b> to invite three players.<br>After inviting three and the round ends, you can <b>Start Party</b>.<br>If the chosen players consist of one Impostor, one Crewmate, and one Neutral, or three Crewmates, nothing happens.<br>If there are two Crewmates and one Neutral or Impostor, that Neutral or Impostor dies.<br>If there are no Crewmates, the Masked Dancer commits suicide.<br>If there is only one Crewmate, a random invited player is killed."
"role.maskeddancer.doc.invite" : "<b>Invite</b><br>Invite one player to the party."
"role.maskeddancer.doc.start" : "<b>Start Party</b><br>Start the party after inviting three players."
"role.maskedDancer.tips" : "<b>· After inviting 3 players, you can start the party in the next round.</b>"
"options.role.maskeddancer.partyuses" : "Party Uses"
"button.label.maskedDancer.invite" : "Invite"
"button.label.maskedDancer.start" : "Start Party"
"options.role.maskeddancer.startcooldown" : "Start Party Cooldown"
"achievement.maskedDancer.party.title" : "Fake Mask"
"achievement.maskedDancer.party.goal" : "Start a party once."
"achievement.maskedDancer.accident.title" : "An Accident!"
"achievement.maskedDancer.accident.goal" : "Someone dies from a party accident."
"achievement.maskedDancer.suicide.title" : "Broken Mask"
"achievement.maskedDancer.suicide.goal" : "The Masked Dancer commits suicide during the party."
"role.wish.name" : "Wish"
"role.wish.blurb" : "May our next meeting not be separated by death."
"role.wish.short" : "Wish"
"role.wish.doc" : "Use <b>Pray</b> to mark a player, allowing you to see the killer's info if they die, or protect them from being exiled."
"role.wish.ability.title" : "<b>Ability: Prayer</b>"
"role.wish.ability.main" : "You can use <b>Pray</b> to place a mark on someone. When marked, if they die, you learn the killer's identity. If they are exiled, the exile is prevented. Based on host settings, Wish may commit suicide when Pray is used on an Impostor, Crewmate, or Neutral."
"role.wish.doc.wishSkill" : "<b>Pray</b><br>Mark a player during the action phase."
"role.wish.tips" : " "
"options.role.wish.detail" : "Wish can mark others and trigger skill effects.<br><b>This is one of Half Sugar's gifts to you!</b>"
"options.role.wish.MarkCoolDown" : "Skill Cooldown"
"options.role.wish.MarkMaxUses" : "Max Skill Uses"
"options.role.wish.suicideImpostor" : "Die instantly when Praying on an Impostor"
"options.role.wish.suicideNeutral" : "Die instantly when Praying on a Neutral"
"options.role.wish.suicideCrewmate" : "Die instantly when Praying on a Crewmate"
"button.label.wish.mark" : "Pray"
"role.objector.name" : "Objector"
"role.objector.blurb" : "I'm not satisfied with the outcome of this meeting."
"role.objector.doc" : "<b>This role has bugs.</b><br>You can use the <b>Objection</b> skill during meetings.<br>If you use Objection, all votes in this round will be converted to abstentions."
"options.role.objector.detail" : "The Objector can use a skill to nullify all votes this meeting.<br><b>This is one of Half Sugar's gifts to you!</b>"
"role.objector.ability.title" : "<b>Ability: Objection Ruling</b>"
"role.objector.ability.main" : "You can use Objection to change everyone's vote to abstain this meeting.<br>If you change your mind, you can cancel the objection before the voting results appear."
"role.objector.doc.objection" : "<b>Objection</b><br>Raise an objection during the meeting phase. Max uses: <b><color=#00ffff>%USES%</color>.</b>"
"role.objector.doc.cancel" : "<b>Cancel Objection</b><br>You can cancel your objection."
"role.objector.tips" : "<b>·Not recommended to enable this role in non-anonymous voting.</b>"
"options.role.objector.uses" : "Max Objection Uses"
"objector.ui.uses" : "Remaining objections: %LEFTUSES%"
"role.imagination.name" : "Imagination"
"role.imagination.short" : "Imag"
"role.imagination.blurb" : "Rich imagination."
"role.imagination.doc" : "Survive to the end and steal victory from others.<br>Each round you can imagine a role and gain its abilities."
"teams.imagination" : "Imagination"
"options.role.imagination.candidateCount" : "Roles to Imagine per Round"
"options.role.imagination.roleFilter" : "Imaginable Roles"
"options.role.imagination.detail" : "Imagination can imagine a role each round and gain its traits.<br>Survive to the end to steal the victory.<br><b>This is one of Half Sugar's gifts to you!</b>"
"role.imagination.ability.title" : "<b>Ability: Extraordinary Imagination</b>"
"role.imagination.ability.main" : "At the end of each meeting or at game start, you can choose a role and gain its abilities.<br>After this round ends, you must choose again."
"role.imagination.tips" : "<b>·Some roles do not grant their skills when chosen.</b><br><b>·You can steal victory.</b>"
"role.imagination.prefix" : "Imagined %ROLE%"
"role.imagination.select" : "Choose a role to imagine (Close this window manually after selecting)"
"role.keymaster.name" : "Keymaster"
"role.keymaster.generalBlurb" : "Open Sesame"
"role.keymaster.doc" : "You can directly open all doors except <b>SKELD</b> and <b>MIRAHQ</b>."
"options.role.keymaster.detail" : "You can open doors directly."
"options.modifier.keymaster.cooldown" : "Open Door Cooldown"
"button.label.keymaster.open" : "Open Door"
"state.imaginationDepression" : "Depression"
"state.partyAccident" : "Party Accident"
"state.brokewish" : "Broken Wish"
"gamemode.hsg.propHunt" : "Prop Hunt"
"end.hsg.propHunt.seekerWin" : "Seekers Win"
"end.hsg.propHunt.propWin" : "Props Win"
"hsg.propHunt.task.hider" : "Stay hidden until the clock runs out"
"hsg.propHunt.task.seeker" : "Find every hidden prop before time is up"
"hsg.propHunt.task.dead" : "You are out. Sit back and enjoy the show."
"hsg.propHunt.noMeeting" : "There are no meetings in this mode"
"hsg.propHunt.hud.hiding" : "Hiding"
"hsg.propHunt.hud.remaining" : "Left"
"hsg.propHunt.hud.final" : "Final countdown"
"hsg.propHunt.hud.danger" : "Danger"
"hsg.propHunt.hud.hidingBig" : "Hiding phase"
"hsg.propHunt.hud.blackout" : "Vision blocked - the hunt begins when this hits zero"
"hsg.propHunt.hud.huntStart" : "The hunt begins!"
"hsg.propHunt.hud.boost" : "[Endgame boost]"
"hsg.propHunt.hud.watching" : "Watching"
"hsg.propHunt.notice.taunted" : "A prop is taunting you!"
"hsg.propHunt.notice.tauntSelf" : "You taunted - the seekers heard where you are"
"hsg.propHunt.notice.tauntAlly" : "A teammate is taunting the seekers"
"hsg.propHunt.notice.decoy" : "Decoy left behind"
"hsg.propHunt.notice.sonarEmpty" : "Nothing nearby"
"button.label.hsg.propHunt.watch" : "Teammate"
"button.label.hsg.propHunt.taunt" : "Taunt"
"button.label.hsg.propHunt.decoy" : "Decoy"
"button.label.hsg.propHunt.sonar" : "Sonar"
"ui.action.hsg.propHunt.taunt" : "Taunt"
"ui.action.hsg.propHunt.decoy" : "Leave a decoy"
"ui.action.hsg.propHunt.sonar" : "Sonar sweep"
"options.hsg.propHunt.holder.title" : "Prop Hunt"
