# Half Sugar's Gift - 日本語 (未翻訳のキーは English.dat にフォールバックします)
"role.maskedDancer.name" : "仮面の踊り子"
"role.maskedDancer.short" : "舞"
"role.maskedDancer.blurb" : "私と一緒に踊りませんか？"
"role.maskedDancer.doc" : "3人のプレイヤーを舞踏会に招待します。次の会議ラウンド終了後に舞踏会を開始できます"
"options.role.maskedDancer.detail" : "仮面の踊り子は3人を招待して舞踏会を開くことができます。<br>招待された者の陣営によって舞踏会の効果が決まります。<br><b>これは Half Sugar からのプレゼントの一つです！</b>"
"role.maskedDancer.ability.title" : "<b>固有アビリティ【仮面舞踏会】</b>"
"role.maskedDancer.ability.main" : "<b>招待</b>を使って3人を招待できます。<br>3人を招待し、そのラウンド終了後、<b>舞踏会を開始</b>できます。<br>選んだプレイヤーの中に、インポスター1人、クルーメイト1人、中立1人、またはクルーメイト3人の場合、何も起こりません。<br>クルーメイト2人、中立またはインポスター1人の場合、その中立またはインポスターが死亡します。<br>クルーメイトがいない場合、仮面の踊り子は自殺します。<br>クルーメイトが1人だけの場合、招待された者からランダムに1人がキルされます。"
"role.maskeddancer.doc.invite" : "<b>招待</b><br>一人を舞踏会に招待します"
"role.maskeddancer.doc.start" : "<b>舞踏会開始</b><br>3人招待後、舞踏会を開始できます。"
"role.maskedDancer.tips" : "<b>· 3人招待後、次のラウンドでしか舞踏会を開始できません</b>"
"options.role.maskeddancer.partyuses" : "舞踏会回数"
"button.label.maskedDancer.invite" : "招待"
"button.label.maskedDancer.start" : "舞踏会開始"
"options.role.maskeddancer.startcooldown" : "舞踏会開始クールダウン"
"achievement.maskedDancer.party.title" : "偽りの仮面"
"achievement.maskedDancer.party.goal" : "舞踏会を1回開始する。"
"achievement.maskedDancer.accident.title" : "事故発生！"
"achievement.maskedDancer.accident.goal" : "誰かが舞踏会事故で死亡する。"
"achievement.maskedDancer.suicide.title" : "砕けた仮面"
"achievement.maskedDancer.suicide.goal" : "仮面の踊り子が舞踏会で自害する。"
"role.wish.name" : "「願」"
"role.wish.blurb" : "願わくば次に会うときは生死の隔たりがありませんように"
"role.wish.short" : "願"
"role.wish.doc" : "<b>祈願</b>を使ってプレイヤーにマークを付け、殺害者情報を見るか、追放から守る"
"role.wish.ability.title" : "<b>固有アビリティ【祈願】</b>"
"role.wish.ability.main" : "<b>祈願</b>を使って他人にマークを重ねがけできます。<br>その人がマークされている場合、死亡すると殺害者の情報がわかります。<br>追放された場合、その追放を阻止します。<br>ホストの設定により、<b>祈願</b>をインポスター、クルーメイト、中立陣営に重ねがけした際、願が自殺するかどうかが決まります。"
"role.wish.doc.wishSkill" : "<b>祈願</b><br>行動フェーズで他人にマーク"
"role.wish.tips" : " "
"options.role.wish.detail" : "願は他人にマークしてスキル効果を発揮できます<br><b>これは Half Sugar からのプレゼントの一つです！</b>"
"options.role.wish.MarkCoolDown" : "スキルクールダウン"
"options.role.wish.MarkMaxUses" : "スキル最大使用回数"
"options.role.wish.suicideImpostor" : "インポスターに祈願したとき死亡するか"
"options.role.wish.suicideNeutral" : "中立陣営に祈願したとき死亡するか"
"options.role.wish.suicideCrewmate" : "クルーメイトに祈願したとき死亡するか"
"button.label.wish.mark" : "祈願"
"role.objector.name" : "異議者"
"role.objector.blurb" : "私は今回の会議結果に納得していません"
"role.objector.doc" : "<b>この職業にはバグがあります。</b><br>会議で<b>異議</b>スキルを使用できます。<br>異議を使用すると、そのラウンドの全員の投票は棄権票に変換されます"
"options.role.objector.detail" : "異議者はスキルで今回の会議の投票を無効にできる<br><b>これは Half Sugar からのプレゼントの一つです！</b>"
"role.objector.ability.title" : "<b>固有アビリティ【異議裁定】</b>"
"role.objector.ability.main" : "異議を使って、そのラウンドの会議における全員の投票結果を棄権に変更できます。<br>後悔した場合、投票結果が出る前に異議を取り消せます。"
"role.objector.doc.objection" : "<b>異議</b><br>会議フェーズで異議を申し立てる。最大<b><color=#00ffff>%USES%回</color></b>使用可能。"
"role.objector.doc.cancel" : "<b>異議取消</b><br>異議を取り消すことができる。"
"role.objector.tips" : "<b>·匿名投票でない場合はこの職業の使用を推奨しません</b>"
"options.role.objector.uses" : "異議の最大使用回数"
"objector.ui.uses" : "残り異議回数：%LEFTUSES%"
"role.imagination.name" : "想像力"
"role.imagination.short" : "想"
"role.imagination.blurb" : "豊かな想像"
"role.imagination.doc" : "最後まで生き残り他人の勝利を奪う<br>各ラウンドで職業を一つ想像し、そのスキルを得る。"
"teams.imagination" : "想像力"
"options.role.imagination.candidateCount" : "ラウンドごとに想像できる職業の数"
"options.role.imagination.roleFilter" : "想像可能な職業"
"options.role.imagination.detail" : "想像力はラウンドごとに職業を一つ想像し、その特性を得る<br>最後まで生き残り勝利を奪う。<br><b>これは Half Sugar からのプレゼントの一つです！</b>"
"role.imagination.ability.title" : "<b>固有アビリティ【想像力抜群】</b>"
"role.imagination.ability.main" : "各ラウンドの会議終了後またはゲーム開始時に職業を一つ選び、その能力を得られます。<br>そのラウンド終了後、再び職業を選ぶ必要があります。"
"role.imagination.tips" : "<b>·特定の職業は選択してもそのスキルを持てません。</b><br><b>·勝利を奪うことができます。</b>"
"role.imagination.prefix" : "想像の%ROLE%"
"role.imagination.select" : "想像する職業を選んでください（選択後、このウィンドウを手動で閉じてください）"
"role.blitz.name" : "ブリッツ"
"role.blitz.short" : "%"
"role.blitz.generalBlurb" : "進撃！"
"options.role.blitz.detail" : "ゲーム開始時または会議終了後、<br>あなたの<b>2回目</b>のキルクールダウンが即座に<b><color=#FF0000>0秒</color></b>にリセットされ、<br>即座に一度攻撃を仕掛けることができます。<br><b>これはバンタンからのプレゼントの一つです！</b>"
"role.blitz.doc" : "会議終了後またはゲーム開始時ごとに、あなたのキルクールダウンが即座に<b><color=#FF0000>0秒</color></b>にリセットされます。"
"role.keymaster.name" : "キーマスター"
"role.keymaster.generalBlurb" : "開けゴマ"
"role.keymaster.doc" : "<b>SKELD</b>と<b>MIRAHQ</b>以外のすべてのドアを直接開けることができます。"
"options.role.keymaster.detail" : "ドアを直接開けられる"
"options.modifier.keymaster.cooldown" : "ドア開閉クールダウン"
"button.label.keymaster.open" : "ドアを開ける"
"state.imaginationDepression" : "鬱"
"state.partyAccident" : "舞踏会事故"
"state.brokewish" : "砕願"
