#游戏模式

"gamemode.hsg.cowboyDuel" : "为了自由"

#任务
"task.hsg.cowboyDuel.name" : "组装枪械"
"task.hsg.cowboyDuel.assembly" : "组装枪械"
"task.hsg.cowboyDuel.loadBullet" : "将子弹装入弹匣"
"task.hsg.cowboyDuel.loadMagazine" : "将弹匣装入枪"
"task.hsg.cowboyDuel.ready" : "枪械组装完成"
"task.hsg.cowboyDuel.aim" : "举枪"
"task.hsg.cowboyDuel.shoot" : "射击"

#船员

"role.maskedDancer.name" : "假面舞者"
"role.maskedDancer.short" : "舞"
"role.maskedDancer.blurb" : "跟我一起共舞吧?"
"role.maskedDancer.doc" : "邀请三名玩家参加舞会。在下一轮会议结束后可开启舞会"
"options.role.maskedDancer.detail" : "假面舞者可以邀请三人并且开启舞会。<br>根据被邀请者的阵营来决定舞会效果。<br><b>这是半糖送给你的礼物之一！</b>"
"role.maskedDancer.ability.title" : "<b>固有能力【假面舞会】</b>"
"role.maskedDancer.ability.main" : "可以使用<b>邀请</b>来邀请三人。<br>邀请三人并且本轮结束后、可以<b>开启舞会</b><br>如果选择的人中、三名船员，那么无事发生<br>如果有两名船员、一个中立或者伪装者、那么中立或者伪装者死亡。<br>如果没有船员、那么假面舞者自杀。<br>如果只有一个船员、那么随机击杀一个被邀请者。"
"role.maskeddancer.doc.invite" : "<b>邀请</b><br>邀请一人来到舞会"
"role.maskeddancer.doc.start" : "<b>开启舞会</b><br>邀请三人后可开启舞会。"
"role.maskedDancer.tips" : "<b>· 邀请满3人后、需要在下一轮才能开启舞会</b>"
"options.role.maskeddancer.inviteCooldownA" : "首次邀请冷却"
"options.role.maskeddancer.inviteCooldownB" : "第二次邀请冷却"
"options.role.maskeddancer.inviteCooldownC" : "第三次邀请冷却"
"options.role.maskeddancer.partyuses" : "舞会次数"
"button.label.maskedDancer.invite" : "邀请"
"button.label.maskedDancer.start" : "开启舞会"
"options.role.maskeddancer.startcooldown" : "开启舞会冷却"

# ---暂时废弃---
"role.referee.name" : "裁判"
"role.referee.short" : "裁判"
"role.referee.blurb" : "不要辜负我对你的期望"
"role.referee.doc" : "招募一名玩家成为大神官。<br>若招募到内鬼或中立，可能根据设置自杀。<br><b>第一轮无法招募。</b>"
"role.referee.ability.title" : "<b>固有能力【正义裁断】</b>"
"role.referee.ability.main" : "可以招募一名玩家成为大神官。第一轮无法使用技能。"
"role.referee.doc.recruit" : "<b>招募</b><br>使目标成为大神官"
"options.role.referee.detail" : "裁判可以招募一人成为大神官。<br><b>这是半糖送给你的礼物之一！</b>"
"options.role.referee.cooldown" : "招募冷却"
"options.role.referee.uses" : "招募次数"
"options.role.referee.suicideImpostor" : "招募到内鬼时自杀"
"options.role.referee.suicideNeutral" : "招募到中立时自杀"
"options.role.referee.suicideCrewmate" : "招募到船员时自杀"
"button.label.referee.recruit" : "招募"
# --- ---

"role.wish.name" : "「愿」"
"role.wish.blurb" : "愿下次相遇不是阴阳两隔"
"role.wish.short" : "愿"
"role.wish.doc" : "使用<b>祈愿</b>为玩家添加标记，查看凶手信息/保护其不被放逐"
"role.wish.ability.title" : "<b>固有能力【祈愿】</b>"
"role.wish.ability.main" : "可以使用<b>祈愿</b>来为他人叠加一层标记，<br>当那人被标记，如果他死亡，你得知凶手信息。<br>如果他被放逐，将阻止本次放逐。<br>根据房主设置，<b>祈愿</b>叠加给伪装者，船员，中立阵营时，愿是否会自杀。"
"role.wish.doc.wishSkill" : "<b>祈愿</b><br>在行动阶段标记他人"
"role.wish.tips" : " "
"options.role.wish.detail" : "愿可以标记他人并产生技能效果<br><b>这是半糖送给你的礼物之一！</b>"
"options.role.wish.MarkCoolDown" : "技能冷却"
"options.role.wish.MarkMaxUses" : "技能使用次数上限"
"options.role.wish.suicideImpostor" : "祈愿伪装者时是否暴毙"
"options.role.wish.suicideNeutral" : "祈愿中立阵营是否暴毙"
"options.role.wish.suicideCrewmate" : "祈愿船员是否暴毙"
"button.label.wish.mark" : "祈愿"
